,,,,,0,1,2,3,4
1:0,2,0 - 100,min-max,36500,"(0.042, 0.059)","(0.022, 0.031)","(0.029, 0.041)","(0.0, 0.0)","(493652.656, 528627.495)"
1:0,2,20 - 70,min-max,36500,"(0.12, 0.102)","(0.09, 0.083)","(0.103, 0.091)","(0.08, 0.063)","(1144382.171, 1051728.089)"
1:0,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(293883.316, 100783.642)"
1:0,2,60 - 70,min-max,36500,"(0.249, 0.114)","(0.116, 0.032)","(0.156, 0.049)","(0.129, 0.057)","(2403.17, 448.456)"
1:0,2,0 - 20,min-max,36500,"(0.083, 0.118)","(0.024, 0.034)","(0.037, 0.052)","(0.037, 0.052)","(47337.607, 8476.93)"
1:0,2,70 - 100,min-max,36500,"(0.122, 0.087)","(0.048, 0.034)","(0.068, 0.048)","(0.068, 0.048)","(799354.755, 148840.094)"
1:0,3,0 - 100,min-max,36500,"(0.093, 0.069)","(0.048, 0.034)","(0.062, 0.044)","(0.062, 0.044)","(1031014.894, 1283166.163)"
1:0,3,20 - 70,min-max,36500,"(0.124, 0.113)","(0.086, 0.077)","(0.102, 0.092)","(0.054, 0.039)","(636726.184, 406664.179)"
1:0,3,20 - 60,min-max,36500,"(0.12, 0.102)","(0.046, 0.033)","(0.064, 0.046)","(0.029, 0.041)","(1912070.532, 2158805.868)"
1:0,3,60 - 70,min-max,36500,"(0.104, 0.082)","(0.068, 0.054)","(0.082, 0.065)","(0.057, 0.04)","(3380.315, 1459.917)"
1:0,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(69767.686, 9898.741)"
1:0,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2509445.208, 953864.852)"
1:0.1,2,0 - 100,min-max,36500,"(0.042, 0.059)","(0.024, 0.034)","(0.03, 0.043)","(0.03, 0.043)","(10.222, 1.771)"
1:0.1,2,20 - 70,min-max,36500,"(0.222, 0.208)","(0.048, 0.034)","(0.075, 0.054)","(0.075, 0.054)","(6.666, 0.632)"
1:0.1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.219, 1.078)"
1:0.1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.993, 0.203)"
1:0.1,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.709, 0.004)"
1:0.1,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.002)"
1:0.1,3,0 - 100,min-max,36500,"(0.55, 0.324)","(0.089, 0.031)","(0.143, 0.041)","(0.035, 0.05)","(9.487, 0.32)"
1:0.1,3,20 - 70,min-max,36500,"(0.067, 0.094)","(0.022, 0.031)","(0.033, 0.047)","(0.0, 0.0)","(8.969, 2.514)"
1:0.1,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.313, 0.583)"
1:0.1,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.59, 0.187)"
1:0.1,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.712, 0.003)"
1:0.1,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.713, 0.003)"
1:1,2,0 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.627, 0.135)"
1:1,2,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.446, 0.113)"
1:1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.429, 0.15)"
1:1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.893, 0.034)"
1:1,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.007)"
1:1,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.706, 0.001)"
1:1,3,0 - 100,min-max,36500,"(0.222, 0.314)","(0.044, 0.063)","(0.074, 0.105)","(0.039, 0.055)","(3.501, 0.035)"
1:1,3,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.735, 0.064)"
1:1,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.71, 0.314)"
1:1,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.878, 0.068)"
1:1,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.724, 0.004)"
1:1,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.705, 0.001)"
1:10,2,0 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.259, 0.123)"
1:10,2,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.206, 0.121)"
1:10,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.369, 0.163)"
1:10,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.924, 0.063)"
1:10,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.004)"
1:10,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:10,3,0 - 100,min-max,36500,"(0.222, 0.314)","(0.044, 0.063)","(0.074, 0.105)","(0.039, 0.055)","(3.14, 0.047)"
1:10,3,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.491, 0.107)"
1:10,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.609, 0.239)"
1:10,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.926, 0.067)"
1:10,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.008)"
1:10,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.003)"
1:0,2,0 - 100,power,36500,"(0.195, 0.066)","(0.131, 0.047)","(0.156, 0.055)","(0.083, 0.003)","(104872.042, 80080.802)"
1:0,2,20 - 70,power,36500,"(0.194, 0.104)","(0.113, 0.029)","(0.139, 0.047)","(0.085, 0.011)","(71059.652, 81801.816)"
1:0,2,20 - 60,power,36500,"(0.117, 0.103)","(0.048, 0.034)","(0.065, 0.047)","(0.065, 0.047)","(79426.228, 27757.084)"
1:0,2,60 - 70,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(224.963, 17.14)"
1:0,2,0 - 20,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(393744001.76, 421122719.95)"
1:0,2,70 - 100,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(53234050.579, 24024756.6)"
1:0,3,0 - 100,power,36500,"(0.27, 0.166)","(0.14, 0.058)","(0.182, 0.088)","(0.157, 0.101)","(349198.578, 187912.894)"
1:0,3,20 - 70,power,36500,"(0.113, 0.113)","(0.106, 0.106)","(0.109, 0.109)","(0.046, 0.065)","(6959.288, 67.813)"
1:0,3,20 - 60,power,36500,"(0.145, 0.039)","(0.143, 0.058)","(0.142, 0.049)","(0.142, 0.049)","(531399.109, 119986.898)"
1:0,3,60 - 70,power,36500,"(0.104, 0.082)","(0.092, 0.065)","(0.096, 0.07)","(0.076, 0.069)","(245.182, 68.035)"
1:0,3,0 - 20,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(476109404.397, 453192308.828)"
1:0,3,70 - 100,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(72971622.797, 32038134.362)"
1:0.1,2,0 - 100,power,36500,"(0.219, 0.082)","(0.157, 0.081)","(0.182, 0.084)","(0.135, 0.068)","(6.42, 0.818)"
1:0.1,2,20 - 70,power,36500,"(0.131, 0.102)","(0.048, 0.034)","(0.069, 0.049)","(0.069, 0.049)","(4.401, 0.48)"
1:0.1,2,20 - 60,power,36500,"(0.141, 0.012)","(0.092, 0.029)","(0.11, 0.024)","(0.087, 0.009)","(1.92, 0.559)"
1:0.1,2,60 - 70,power,36500,"(0.15, 0.045)","(0.184, 0.083)","(0.163, 0.062)","(0.146, 0.047)","(0.782, 0.011)"
1:0.1,2,0 - 20,power,36500,"(0.311, 0.164)","(0.199, 0.144)","(0.224, 0.156)","(0.167, 0.161)","(0.719, 0.004)"
1:0.1,2,70 - 100,power,36500,"(0.115, 0.162)","(0.204, 0.288)","(0.147, 0.207)","(0.101, 0.143)","(0.71, 0.002)"
1:0.1,3,0 - 100,power,36500,"(0.306, 0.116)","(0.135, 0.053)","(0.185, 0.068)","(0.127, 0.039)","(7.783, 0.178)"
1:0.1,3,20 - 70,power,36500,"(0.219, 0.242)","(0.128, 0.134)","(0.161, 0.172)","(0.115, 0.109)","(4.372, 1.209)"
1:0.1,3,20 - 60,power,36500,"(0.303, 0.075)","(0.167, 0.067)","(0.213, 0.076)","(0.213, 0.076)","(2.852, 0.861)"
1:0.1,3,60 - 70,power,36500,"(0.242, 0.082)","(0.211, 0.125)","(0.218, 0.099)","(0.137, 0.07)","(0.795, 0.011)"
1:0.1,3,0 - 20,power,36500,"(0.097, 0.082)","(0.111, 0.113)","(0.102, 0.095)","(0.059, 0.083)","(0.718, 0.005)"
1:0.1,3,70 - 100,power,36500,"(0.325, 0.133)","(0.251, 0.072)","(0.266, 0.058)","(0.169, 0.03)","(0.712, 0.001)"
1:1,2,0 - 100,power,36500,"(0.153, 0.137)","(0.086, 0.077)","(0.11, 0.099)","(0.059, 0.042)","(2.92, 0.427)"
1:1,2,20 - 70,power,36500,"(0.093, 0.069)","(0.048, 0.034)","(0.062, 0.044)","(0.062, 0.044)","(1.768, 0.249)"
1:1,2,20 - 60,power,36500,"(0.074, 0.105)","(0.044, 0.063)","(0.056, 0.079)","(0.029, 0.041)","(1.118, 0.039)"
1:1,2,60 - 70,power,36500,"(0.091, 0.074)","(0.113, 0.113)","(0.099, 0.089)","(0.082, 0.068)","(0.743, 0.005)"
1:1,2,0 - 20,power,36500,"(0.187, 0.101)","(0.137, 0.092)","(0.144, 0.089)","(0.125, 0.063)","(0.714, 0.003)"
1:1,2,70 - 100,power,36500,"(0.231, 0.206)","(0.149, 0.128)","(0.15, 0.106)","(0.087, 0.064)","(0.719, 0.001)"
1:1,3,0 - 100,power,36500,"(0.194, 0.142)","(0.09, 0.083)","(0.12, 0.102)","(0.095, 0.072)","(2.594, 0.089)"
1:1,3,20 - 70,power,36500,"(0.264, 0.311)","(0.161, 0.18)","(0.2, 0.228)","(0.138, 0.142)","(1.882, 0.475)"
1:1,3,20 - 60,power,36500,"(0.148, 0.139)","(0.095, 0.089)","(0.116, 0.108)","(0.116, 0.108)","(1.59, 0.056)"
1:1,3,60 - 70,power,36500,"(0.173, 0.131)","(0.161, 0.18)","(0.155, 0.151)","(0.109, 0.091)","(0.754, 0.032)"
1:1,3,0 - 20,power,36500,"(0.11, 0.085)","(0.17, 0.192)","(0.124, 0.117)","(0.1, 0.085)","(0.714, 0.005)"
1:1,3,70 - 100,power,36500,"(0.239, 0.081)","(0.206, 0.062)","(0.211, 0.062)","(0.166, 0.093)","(0.719, 0.001)"
1:10,2,0 - 100,power,36500,"(0.091, 0.129)","(0.062, 0.088)","(0.074, 0.105)","(0.027, 0.038)","(2.674, 0.355)"
1:10,2,20 - 70,power,36500,"(0.095, 0.067)","(0.044, 0.031)","(0.061, 0.043)","(0.0, 0.0)","(1.832, 0.08)"
1:10,2,20 - 60,power,36500,"(0.122, 0.092)","(0.065, 0.051)","(0.085, 0.066)","(0.032, 0.045)","(1.208, 0.042)"
1:10,2,60 - 70,power,36500,"(0.182, 0.096)","(0.224, 0.135)","(0.195, 0.105)","(0.158, 0.085)","(0.769, 0.038)"
1:10,2,0 - 20,power,36500,"(0.196, 0.023)","(0.218, 0.109)","(0.195, 0.068)","(0.143, 0.045)","(0.716, 0.002)"
1:10,2,70 - 100,power,36500,"(0.181, 0.13)","(0.128, 0.134)","(0.138, 0.125)","(0.102, 0.079)","(0.712, 0.002)"
1:10,3,0 - 100,power,36500,"(0.273, 0.116)","(0.114, 0.061)","(0.155, 0.076)","(0.129, 0.04)","(2.563, 0.12)"
1:10,3,20 - 70,power,36500,"(0.278, 0.208)","(0.152, 0.128)","(0.195, 0.157)","(0.15, 0.108)","(1.872, 0.519)"
1:10,3,20 - 60,power,36500,"(0.194, 0.039)","(0.119, 0.034)","(0.145, 0.034)","(0.145, 0.034)","(1.361, 0.017)"
1:10,3,60 - 70,power,36500,"(0.173, 0.155)","(0.14, 0.153)","(0.152, 0.155)","(0.067, 0.094)","(0.764, 0.042)"
1:10,3,0 - 20,power,36500,"(0.181, 0.153)","(0.229, 0.194)","(0.202, 0.171)","(0.133, 0.094)","(0.721, 0.007)"
1:10,3,70 - 100,power,36500,"(0.135, 0.107)","(0.173, 0.155)","(0.15, 0.126)","(0.12, 0.09)","(0.714, 0.001)"
1:0,2,0 - 100,min-max,3650,"(0.042, 0.059)","(0.022, 0.031)","(0.029, 0.041)","(0.0, 0.0)","(120096.333, 76046.355)"
1:0,2,20 - 70,min-max,3650,"(0.194, 0.171)","(0.146, 0.12)","(0.166, 0.141)","(0.103, 0.073)","(192846.315, 80427.382)"
1:0,2,20 - 60,min-max,3650,"(0.333, 0.272)","(0.092, 0.065)","(0.141, 0.1)","(0.106, 0.082)","(1068.031, 125.874)"
1:0,2,60 - 70,min-max,3650,"(0.148, 0.139)","(0.048, 0.034)","(0.068, 0.05)","(0.068, 0.05)","(468444.735, 51537.283)"
1:0,2,0 - 20,min-max,3650,"(0.222, 0.314)","(0.048, 0.067)","(0.078, 0.111)","(0.078, 0.111)","(29506.776, 3829.979)"
1:0,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(564731.609, 51396.302)"
1:0,3,0 - 100,min-max,3650,"(0.111, 0.079)","(0.067, 0.054)","(0.081, 0.061)","(0.026, 0.036)","(131806.712, 87729.603)"
1:0,3,20 - 70,min-max,3650,"(0.108, 0.082)","(0.046, 0.033)","(0.064, 0.046)","(0.035, 0.05)","(100855.149, 61174.57)"
1:0,3,20 - 60,min-max,3650,"(0.225, 0.101)","(0.067, 0.0)","(0.098, 0.015)","(0.0, 0.0)","(432416.207, 217141.868)"
1:0,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1396.396, 47.526)"
1:0,3,0 - 20,min-max,3650,"(0.333, 0.471)","(0.024, 0.034)","(0.044, 0.063)","(0.044, 0.063)","(34618.313, 2820.302)"
1:0,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(837937.491, 111865.207)"
1:0.1,2,0 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(10.511, 1.59)"
1:0.1,2,20 - 70,min-max,3650,"(0.042, 0.059)","(0.024, 0.034)","(0.03, 0.043)","(0.03, 0.043)","(6.327, 0.367)"
1:0.1,2,20 - 60,min-max,3650,"(0.048, 0.067)","(0.024, 0.034)","(0.032, 0.045)","(0.032, 0.045)","(3.487, 0.345)"
1:0.1,2,60 - 70,min-max,3650,"(0.067, 0.094)","(0.048, 0.067)","(0.056, 0.079)","(0.056, 0.079)","(2.062, 0.262)"
1:0.1,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.711, 0.007)"
1:0.1,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.006)"
1:0.1,3,0 - 100,min-max,3650,"(0.273, 0.055)","(0.09, 0.03)","(0.133, 0.035)","(0.067, 0.047)","(10.158, 1.028)"
1:0.1,3,20 - 70,min-max,3650,"(0.2, 0.283)","(0.062, 0.088)","(0.095, 0.135)","(0.035, 0.05)","(8.549, 2.162)"
1:0.1,3,20 - 60,min-max,3650,"(0.067, 0.094)","(0.024, 0.034)","(0.035, 0.05)","(0.035, 0.05)","(4.025, 0.352)"
1:0.1,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.328, 0.183)"
1:0.1,3,0 - 20,min-max,3650,"(0.167, 0.236)","(0.022, 0.031)","(0.039, 0.055)","(0.0, 0.0)","(0.727, 0.013)"
1:0.1,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.727, 0.006)"
1:1,2,0 - 100,min-max,3650,"(0.042, 0.059)","(0.024, 0.034)","(0.03, 0.043)","(0.03, 0.043)","(5.707, 3.574)"
1:1,2,20 - 70,min-max,3650,"(0.048, 0.067)","(0.024, 0.034)","(0.032, 0.045)","(0.032, 0.045)","(2.443, 0.146)"
1:1,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.551, 0.214)"
1:1,2,60 - 70,min-max,3650,"(0.067, 0.094)","(0.024, 0.034)","(0.035, 0.05)","(0.035, 0.05)","(1.1, 0.107)"
1:1,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.742, 0.016)"
1:1,2,70 - 100,min-max,3650,"(0.167, 0.236)","(0.024, 0.034)","(0.042, 0.059)","(0.042, 0.059)","(0.734, 0.01)"
1:1,3,0 - 100,min-max,3650,"(0.067, 0.094)","(0.022, 0.031)","(0.033, 0.047)","(0.0, 0.0)","(5.34, 3.07)"
1:1,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.771, 0.131)"
1:1,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.728, 0.06)"
1:1,3,60 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.257, 0.029)"
1:1,3,0 - 20,min-max,3650,"(0.111, 0.157)","(0.022, 0.031)","(0.037, 0.052)","(0.0, 0.0)","(0.75, 0.012)"
1:1,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.733, 0.005)"
1:10,2,0 - 100,min-max,3650,"(0.048, 0.067)","(0.024, 0.034)","(0.032, 0.045)","(0.032, 0.045)","(4.709, 2.235)"
1:10,2,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.164, 0.121)"
1:10,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.396, 0.111)"
1:10,2,60 - 70,min-max,3650,"(0.037, 0.052)","(0.024, 0.034)","(0.029, 0.041)","(0.029, 0.041)","(1.139, 0.049)"
1:10,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.738, 0.014)"
1:10,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.011)"
1:10,3,0 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.909, 0.069)"
1:10,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.635, 0.173)"
1:10,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.696, 0.151)"
1:10,3,60 - 70,min-max,3650,"(0.333, 0.471)","(0.024, 0.034)","(0.044, 0.063)","(0.044, 0.063)","(1.236, 0.066)"
1:10,3,0 - 20,min-max,3650,"(0.333, 0.471)","(0.024, 0.034)","(0.044, 0.063)","(0.044, 0.063)","(0.729, 0.009)"
1:10,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.716, 0.016)"
1:0,2,0 - 100,power,3650,"(0.185, 0.139)","(0.089, 0.063)","(0.119, 0.085)","(0.062, 0.044)","(24490.525, 14706.791)"
